RANKÂ ,CITY, POPULATION
1,New York,8336817
2,Los Angeles,3979576
3,Chicago,2693976
4,Houston,2320268
5,Phoenix,1680992
6,Philadelphia,1584064
7,San Antonio,1547253
8,San Diego,1423851
9,Dallas,1343573
10,San Jose,1021795
11,Austin,978908
12,Jacksonville,911507
13,Fort Worth,909585
14,Columbus,898553
15,Charlotte,885708
16,San Francisco,881549
17,Indianapolis,876384
18,Seattle,753675
19,Denver,727211
20,Washington,705749
21,Boston,692600
22,El Paso,681728
23,Nashville,670820
24,Detroit,670031
25,Oklahoma City,655057
26,Portland,654741
27,Las Vegas,651319
28,Memphis,651073
29,Louisville,617638
30,Baltimore,593490
31,Milwaukee,590157
32,Albuquerque,560513
33,Tucson,548073
34,Fresno,531576
35,Mesa,518012
36,Sacramento,513624
37,Atlanta,506811
38,Kansas City,495327
39,Colorado Springs,478221
40,Omaha,478192
41,Raleigh,474069
42,Miami,467963
43,Long Beach,462628
44,Virginia Beach,449974
45,Oakland,433031
46,Minneapolis,429606
47,Tulsa,401190
48,Tampa,399700
49,Arlington,398854
50,New Orleans,390144
